product-id,upc,JDASKUNumber,online-flag,display-name,brandcustom,product-category-1,product-category-2,product-category-3,MSRP,long-description,parent-id,product-image,product-alt-image,product-alt-swatch,videoLink,gepr,JDABrandID,color,size,directions,featuresAndBenefits,ingredients,merchandisingCategory,salonhq-available,manufacturer-name,manufacturer-sku,available-flag,searchable-flag,page-title,page-keywords,quantityLimit,taxGroup,vendorCode,voc,refinementColor,refinementType,refinementBenefit,videoImage
USA-338653,7.39E+11,1094893,FALSE,Hair Primer 11,Framesi,COSMOPROF,Vegan Favorites,,990,"""To complete the Color Lover range, pre-styling Hair Primer 11, which removes imperfections and bestows no fewer than eleven benefits, first and foremost color protection. Pre-styling, acid pH primer, formulated with a pool of antioxidant enzymes of bio-technological origin and a UV screen. Indispensable for removing imperfections before drying the hair. Suitable for all hair types.    How does Primer 11 love your hair?  Count the ways�..  Meet Primer 11 and Framesi Color Lover shampoos and conditioners, filled with a promise to keep your hair color shiny and vibrant, infusing color protection, anti-aging and nourishing vitamins day after day. When your hair color lasts 95% longer, you will feel everlasting love. UPC:738884266686""",,https://www.cosmoprofbeauty.com/on/demandware.static/-/Sites-cosmoprof-master-catalog/default/images/framesi/338653.png,https://www.cosmoprofbeauty.com/on/demandware.static/-/Sites-cosmoprof-master-catalog/default/images/framesi/338653.png,,https://www.youtube.com/watch?v=4yMrZxZoI60,NONE,305,,3.4 fl. oz.,"Spray evenly over still damp hair, comb to distribute uniformly and then, without rinsing, proceed with drying with the normal styling and finishing products.",Cosmetic color protection for all hair types<br>  Protection from hair dryer and iron heat<br>  Hydration and nourishment for damaged hair<br>  Light texture which does not weigh down the hair shaft <br>  Shine and silkiness for frizzy hair<br>  Greater body for delicate and fine hair<br>  Anti-static control<br>  Better manageability for coarse and frizzy hair<br>  Easier styling for straight hair<br>  Longer-lasting styling<br>  Combats split ends<br>,"Water, Hydrolyzed Quinoa, Sericin Silk Protein, Superoxide Dismutase, Vinifera (Grape) Fruit Cell Extract, Panthenol (Vitamin B5), Ascorbic Acid (Vitamin C), Tocopheryl Acetate (Vitamin E), Quaternium-95, Polyquaterniym-27, Cetrimonium Chloride, Behentrimonium Chloride, Silicone Quaternium-16, Polyquaternium-55, Polyquaterniym-72, Bis-Diisopropanolamine-PG Propyl Dimethicone/ Bis-Isobutyl PEG-14 Copolymer, Fragrance, Propanediol, Undeceth-11, Butyloctanol, Undeceth-5, Polysorbate 20, Dehydroacetic Acid, Benzyl Alcohol, Citric Acid, BCC12-Base",C,TRUE,FRAMKAT DBA FRAMESI USA-JDA US,026688-000,TRUE,TRUE,Hair Primer 11 - Framesi | CosmoProf,,,RETL,337,N/A/.0,,Primers,,https://img.youtube.com/vi/4yMrZxZoI60/hqdefault.jpg
USA-379037,8.50E+11,1007998,FALSE,Miracle Texture Fiber,Its A 10,Hair Care,Hair Styling,,2200,"""A touch of genius for short and layered styles. Ideal for men?s styling and equally perfect for pixie-short ladies? styles, bobs, and layers. It?s a 10 Miracle Texture Fiber is a lightweight invisible paste that smooths and separates hair into just the right spot. At the same time, it helps guard against frizz, flyaways and humidity with touchable ease. UPC:850011058824""",,https://www.cosmoprofbeauty.com/on/demandware.static/-/Sites-cosmoprof-master-catalog/default/images/itsa10/379037.png,https://www.cosmoprofbeauty.com/on/demandware.static/-/Sites-cosmoprof-master-catalog/default/images/itsa10/379037.png,,https://www.youtube.com/watch?v=y5zWvHJvqUg,NONE,402,,3 oz.,"Emulsify a small amount of Miracle Texture Fiber by rubbing it between your hands.  Apply to damp or dry hair where required to build texture, volume, and flexible hold.  Aply more product if desired.",-Controls frizz<br /> -Natural hold<br /> -Provides separation<br /> -Adds shine<br /> -Creates flexibility<br /> -Molds hair<br /> -Humidity resistant<br /> -Texturizer<br /> -Non greasy<br /> -Reactivates style,"- Lanolin Wax: Moisturizes the hair shaft while providing light hold.  Ozokerite: a natural mineral-based wax.  <br />  - Sunflower Seed Extract: Natural sunscreen that guards against dryness and color fading or brassiness.<br />  - Chinese Tea Leaf Extract: Enhances overall hair health with antioxidants and nutrients.  <br />  - Noni Extract: A therapeutic treatment for stressed and/or heat styled hair.  <br />  - Natural Fragrance: Created with hints of rose, geranium and citrus.",D,TRUE,ITS A 10 HAIRCARE - SALLY - JDA US,227,TRUE,TRUE,Miracle Texture Fiber - Its A 10 | CosmoProf,"cosmoprof, salon products, wholesale salon, salon, professional hair products, wholesale its a 10, its a 10, its a 10 miracle texture fiber, its a 10 texture fiber, hair texture fiber, hair texture product",6,RETL,379,HSO/2.0,,Styling,Frizz Control,https://img.youtube.com/vi/y5zWvHJvqUg/hqdefault.jpg
USA-243012,6.64E+11,1002973,FALSE,O.G. Baller Playable Pomade,GIBS Grooming,Hair Care,Hair Styling,Wax & Pomade,2100,"""O.G. Baller Playable Pomade lets you keep it fresh all day long. With a flexible hold and medium shine, you can go from street style, to business and back in no time. Holy Basil helps moisturize, soothe dry scalp and eliminate pimples and breakouts along the hairline. Hops offers anti- inflammatory and astringent properties, helps reduce hair loss and helps soothe the scalp and increase the overall health of the hair and scalp. Panthenol moisturizes and conditions the hair, helping to improve its elasticity and flexibility. UPC:663593098962""",,https://www.cosmoprofbeauty.com/on/demandware.static/-/Sites-cosmoprof-master-catalog/default/images/gibsgrooming/243012.png,https://www.cosmoprofbeauty.com/on/demandware.static/-/Sites-cosmoprof-master-catalog/default/images/gibsgrooming/243012.png,,https://www.youtube.com/watch?v=uvRLxES6nXI,NONE,321,,3 oz.,"<ol>  <li>Apply a small amount to hands and work through damp or dry hair - the drier hair, the higher the hold.</li>  <li>Keep is fresh and restyle by wetting comb or hands with water, then working through hair again.</li>  </ol>",<ul>  <li>Playable hold</li>  <li>Medium shine</li>  <li>It's fragrance keeps it fresh with hints of crisp Cognac and rich Musk</li>  </ul>,"Holy Basil<br>  - Helps moisturize and soothe dry scalps<br>  - Helps boost scalp immunity and eliminate and eliminate pimples and breakouts along the hairline<br>  Hops<br>  - Anti-inflammatory, astringent properties<br>  - Helps reduce hair loss and soothe the scalp<br>  - Helps increase overall health of hair and scalp<br>  Panthenol<br>  - Moisturizes and conditions the hair<br>  - Helps improve hair's elasticity and flexibility",D,FALSE,GIBS DISTRIBUTION LLC-JDA US,52001,TRUE,TRUE,O.G. Baller Playable Pomade - GIBS Grooming | CosmoProf,,,RETL,243,N/A/.0,,Mens Grooming,"Smoothing,Frizz Control",https://img.youtube.com/vi/uvRLxES6nXI/hqdefault.jpg
USA-243010,7.48E+11,1002971,FALSE,Original Outlaw Hair Spackle,GIBS Grooming,Hair Care,Hair Styling,,2100,"""Original Outlaw Hair Spackle keeps it rugged. It doesn't matter if you're robbing banks or on the run, this high- hold, matte grit will leave your hair textured and in place all day. Topped off with shea butter, panthenol, Holy Basil and hops, this pomade also helps to moisturize and condition hair, while leaving the scalp soft and soothed. So go on, take the pomade and run. Comb it smooth or leave it messy. The choice is yours. Its moody and complex fragrance is tinged with hints of dark plum, clove and black currant. UPC:747906504392""",,https://www.cosmoprofbeauty.com/on/demandware.static/-/Sites-cosmoprof-master-catalog/default/images/gibsgrooming/243010.png,https://www.cosmoprofbeauty.com/on/demandware.static/-/Sites-cosmoprof-master-catalog/default/images/gibsgrooming/243010.png,,https://www.youtube.com/watch?v=nxdQqKYYQOw,NONE,321,,3 oz.,"<ol>  <li>Apply a small amount to hands and work through damp or dry hair (the drier the hair, the higher the hold)</li>  <li>Comb it smooth or leave it messy</li>  </ol>","<ul>  <li>Matte grit will leave hair textured and in place all day</li>  <li>Moody and complex, this fragrance is tinged with hints of Dark Plum, Clove, and Black Currant.</li>  </ul>","Holy Basil<br>  - Helps moisturize and soothe dry scalps<br>  - Helps boost scalp immunity and eliminate pimples and breakouts along the hairline<br>  Hops<br>  - Anti-inflammatory, astringent properties<br>  - Helps reduce hair loss and soothe the scalp<br>  - Helps increase overall health of hair and scalp<br>  Panthenol<br>  - Moisturizes and condition the hair<br>  - Helps improve hair's elasticity and flexibility<br>  Shea Butter<br>  - Helps condition, soothe, moisturize and protect the hair and scalp.",D,FALSE,GIBS DISTRIBUTION LLC-JDA US,52003,TRUE,TRUE,Original Outlaw Hair Spackle - GIBS Grooming | CosmoProf,,,RETL,243,N/A/.0,,Mens Grooming,,https://img.youtube.com/vi/nxdQqKYYQOw/hqdefault.jpg
USA-570894,9531107356,1010400,FALSE,Color Protect Shampoo,John Paul Mitchell Systems,Hair Care,Shampoo,,650,Hold on to your hair color! Paul Mitchell Color Protect Shampoo gently cleanses color-treated hair and helps protect against sun damage and fading. UPC:009531107356,USA-M-570141,https://www.cosmoprofbeauty.com/on/demandware.static/-/Sites-cosmoprof-master-catalog/default/images/johnpaulmitchellsystems/570894.png,https://www.cosmoprofbeauty.com/on/demandware.static/-/Sites-cosmoprof-master-catalog/default/images/johnpaulmitchellsystems/570894.png,https://www.cosmoprofbeauty.com/on/demandware.static/-/Sites-cosmoprof-master-catalog/default/images/johnpaulmitchellsystems/571592_s.png,,NONE,642,,3.4_fl_oz,<ol>   <li>Massage into wet hair.</li>   <li>Rinse.</li>   <li>Repeat as needed.</li>   <li>Follow with Color Protect Conditioner.</li>  </ol>,"<ul>   <li>Preserves + protects hair color while it cleanses</li>   <li>Strengthens strands</li>   <li>Sunflower extract helps provide UV protection</li>   <li>Conditioning extracts add moisture + shine</li>   <li>Ideal for color-treated hair</li>   <li>Refreshingly energetic scent with notes of orange, apple, and bergamot</li>   <li>Color safe</li>   <li>Paraben-free</li>  </ul>","Aqua (Water, Eau), Ammonium Lauryl Sulfate, Sodium Myreth Sulfate, Cocamide MIPA, Cocamidopropyl Betaine, Panthenol, Helianthus Annuus (Sunflower) Extract, Hedychium Coronarium (White Ginger) Root Extract, Aloe Barbadensis Extract, Anthemis Nobilis Flower Extract, Rosmarinus Officinalis (Rosemary) Leaf, Simmondsia Chinensis (Jojoba) Seed Oil, Algae Extract, Triticum Vulgare (Wheat) Starch, Hydrolyzed Wheat Protein, Alcohol Denat., Bisamino PEG/PPG-41/3 Aminoethyl PG-Propyl Dimethicone, PEG-12 Dimethicone, Butylene Glycol, Cinnamidopropyltrimonium Chloride, Citric Acid, Ethylhexylglycerin, Glycerin, Glycol Distearate, Glycol Stearate, Hydroxypropyl Guar Hydroxypropyltrimonium Chloride, Polyquaternium-44, Sodium Chloride, Sodium Sulfate, Steareth-4, Phenoxyethanol, Potassium Sorbate, Sodium Benzoate, Magnesium Chloride, Magnesium Nitrate, Methylchloroisothiazolinone, Methylisothiazolinone, Parfum (Fragrance), Benzyl Alcohol, Benzyl Salicylate, Butylphenyl Methylpropional, Geraniol, Hexyl Cinnamal, Hydroxycitronellal, Linalool.",B,TRUE,JOHN PAUL MITCHELL SYSTEMS-JDA US,CPS-003,TRUE,TRUE,Color Protect Daily Shampoo - John Paul Mitchell Systems | CosmoProf,"cosmoprof, salon products, wholesale salon, salon, professional hair products, wholesale paul mitchell, paul mitchell, paul mitchell products, paul mitchell color protect shampoo, paul mitchell color protect daily shampoo, color treated hair, color treated hair shampoo, color care shampoo",,RETL,570,N/A/.0,,Shampoo,,
USA-301675,5.03E+12,1006007,FALSE,Magnesium 1 Inch Flat Iron,ION,Tools & Appliances,Flat Irons,,8199,"""The ion Magnesium Flat Iron is part of the next generation of heat styling. This flat iron heats fast and up to 450°F, maintains a stable temperature and leaves hair looking and feeling healthier, shiny and softer hair with the combination of Magnesium and Ceramic Tourmaline. Magnesium is a natural element with incredible heat conductivity and recovery. The ion Magnesium Pro Flat Iron recovers heat quickly after each pass through the hair, which results in fewer passes, less damage, and salon-quality results. UPC:5033102851442""",USA-M-834001,https://www.cosmoprofbeauty.com/on/demandware.static/-/Sites-cosmoprof-master-catalog/default/images/ion/301675.png,https://www.cosmoprofbeauty.com/on/demandware.static/-/Sites-cosmoprof-master-catalog/default/images/ion/301675.png,https://www.cosmoprofbeauty.com/on/demandware.static/-/Sites-cosmoprof-master-catalog/default/images/ion/301676_s.png,https://www.youtube.com/watch?v=lKFoH0yOY4U,NONE,394,,1_Inch,"<ol>  	<li>Protect your hair from heat damage and use a heat protection spray prior to blow drying and styling.</li>  </ol>","<ul>  	<li>Magnesium delivers optimal heat for superior styling results</li>  	<li>Patented Korean Magnesium Technology (Patent Pending)</li>  	<li>Auto shut-off function in 45 minutes</li>  	<li>Dual voltage for worldwide usage</li>  </ul>",,A,FALSE,SEODOO HI-TECH CO LTD-JDA US,301675,TRUE,TRUE,Magnesium 1 Inch Flat Iron - ION | CosmoProf,,,RETL,834,N/A/.0,,,Dual Voltage,https://img.youtube.com/vi/lKFoH0yOY4U/hqdefault.jpg
USA-301676,5.03E+12,1006008,FALSE,Magnesium 1.25 Inch Flat Iron,ION,Tools & Appliances,Flat Irons,,8199,"""The ion Magnesium Flat Iron is part of the next generation of heat styling. This flat iron heats fast and up to 450°F, maintains a stable temperature and leaves hair looking and feeling healthier, shiny and softer hair with the combination of Magnesium and Ceramic Tourmaline. Magnesium is a natural element with incredible heat conductivity and recovery. The ion Magnesium Pro Flat Iron recovers heat quickly after each pass through the hair, which results in fewer passes, less damage, and salon-quality results. UPC:5033102859578""",USA-M-834001,https://www.cosmoprofbeauty.com/on/demandware.static/-/Sites-cosmoprof-master-catalog/default/images/ion/301675.png,https://www.cosmoprofbeauty.com/on/demandware.static/-/Sites-cosmoprof-master-catalog/default/images/ion/301676.png,https://www.cosmoprofbeauty.com/on/demandware.static/-/Sites-cosmoprof-master-catalog/default/images/ion/301676_s.png,https://www.youtube.com/watch?v=lKFoH0yOY4U,NONE,394,,1_14_Inch,"<ol>  	<li>Protect your hair from heat damage and use a heat protection spray prior to blow drying and styling.</li>  </ol>","<ul>  	<li>Magnesium delivers optimal heat for superior styling results</li>  	<li>Patented Korean Magnesium Technology (Patent Pending)</li>  	<li>Auto shut-off function in 45 minutes</li>  	<li>Dual voltage for worldwide usage</li>  </ul>",,A,TRUE,SEODOO HI-TECH CO LTD-JDA US,301676,TRUE,TRUE,Magnesium 1.25 Inch Flat Iron - ION | CosmoProf,,,RETL,834,N/A/.0,,,Dual Voltage,https://img.youtube.com/vi/lKFoH0yOY4U/hqdefault.jpg
USA-020120,6.16E+11,2017347,FALSE,Bed Head Colour Goddess Shampoo,TIGI,Hair Care,Shampoo,,1499,"""Colour Goddess Oil Infused Shampoo is therapy for colored hair.  Feed your color addiction. Colour Goddess Oil Infused Shampoo, with pro-vitamin B5 and essential nutrient vitamin E, cares for colored hair and is infused with nourishing sweet almond oil, coconut oil and keratin, hair?s key protein. This is Oil defense for electrifying color. Bed Head? Colour Care is for serial hair abusers. UPC:615908432398""",USA-M-783165,https://www.cosmoprofbeauty.com/on/demandware.static/-/Sites-cosmoprof-master-catalog/default/images/tigi/020120.png,https://www.cosmoprofbeauty.com/on/demandware.static/-/Sites-cosmoprof-master-catalog/default/images/tigi/020120.png,https://www.cosmoprofbeauty.com/on/demandware.static/-/Sites-cosmoprof-master-catalog/default/images/tigi/020120_s.png,,NONE,846,,13.53_fl_oz,"?- Wet hair thoroughly, lather and rinse.<br>  - Always follow with Colour Goddess Conditioner.<br>","-Refreshes and cleanses hair, removing build up to optimize color vibrancy<br> -Smoothes and adds shine<br> -Hair is more resistant to breaking during brushing which means fewer broken ends which can make color look dull and flat<br>","- Cocamidopropyl Betaine Balanced cleansing – cleans without stripping your color. Helps prevent static and flyways.<br>  - Vitamin E (Tocopheryl Acetate) Essential nutrient and antioxidant.<br>  - Cocos Nucifera (Coconut) Oil Penetrates, conditions and softens colored hair.<br>  - Shine emulsion (Dimethicone & Amodimethicone) Adds shine and vibrancy to colored hair<br>",B,TRUE,TIGI LINEA CORP DBA ELIDA BEAUTY - JDA U,300508,TRUE,TRUE,Bed Head Colour Goddess Shampoo - TIGI | CosmoProf,,,RETL,783,N/A/.0,,Shampoo,,
USA-019992,6.16E+11,2017148,FALSE,Bed Head Recovery Shampoo,TIGI,Hair Care,Shampoo,,1499,"""You?ve dyed, you?ve fried, so take your dull hair to the bright side! Help moisture-deprived hair to the ultimate recovery. Let this potion help strengthen and shine your worn out locks. UPC:615908432008""",USA-M-783164,https://www.cosmoprofbeauty.com/on/demandware.static/-/Sites-cosmoprof-master-catalog/default/images/tigi/019992.png,https://www.cosmoprofbeauty.com/on/demandware.static/-/Sites-cosmoprof-master-catalog/default/images/tigi/019992.png,https://www.cosmoprofbeauty.com/on/demandware.static/-/Sites-cosmoprof-master-catalog/default/images/tigi/019992_s.png,,NONE,846,,13.5_fl_oz,Work into lather on wet hair. Rinse well. Follow with  RECOVERY™ Conditioner.,Helps hair maintain its moisture balance of hair so it feels soft and conditioned.<br>  Hair is protected from future damage.<br>  Leaves hair shiny and soft!<br>  Colour safe.<br>,"Water (Aqua/Eau), Sodium Laureth Sulfate, Cocamidopropyl Betaine, Glycol Distearate, Fragrance (Parfum), Sodium Chloride, Guar Hydroxypropyltrimonium Chloride, Dimethiconol, Glycerin, Carbomer, Citric Acid, TEA-Dodecylbenzenesulfonate, PPG-9, Laureth-23, Tetrasodium EDTA, DMDM Hydantoin, Sodium Benzoate, PEG-45M, Phenoxyethanol, Magnesium Nitrate, Magnesium Chloride, Silica, Methylchloroisothiazolinone, Methylisothiazolinone, Benzyl Benzoate, Geraniol, Limonene, Linalool, Mica (CI 77019), Titanium Dioxide (CI 77891), Blue 1 (CI 42090), Yellow 5 (CI 19140).",B,TRUE,TIGI LINEA CORP DBA ELIDA BEAUTY - JDA U,300518,TRUE,TRUE,Bed Head Recovery Shampoo - TIGI | CosmoProf,,,RETL,783,UNA/.0,,Shampoo,,
USA-243036,8.07E+11,1002989,FALSE,Phantom Matte Shaping Cream,GIBS Grooming,Hair Care,Hair Styling,,1900,"""Is it real or is it GIBS Grooming? Take matte to the max and elevate your grooming game with Phantom Matte Shaping Cream, a 'now you see it, now you don't styling cream for impossibly soft, medium hold and an ultra-matte, never-flat finish. Add sophisticated texture and haunting hold with tapioca starch and kaolin clay; hops, holy basil and prickly pear mean this bare-boned cream disappears into the hair with scalp tingling moisture and protection to ban hairline breakouts. Style is never an illusion with GIBS Grooming! UPC:806810992166""",,https://www.cosmoprofbeauty.com/on/demandware.static/-/Sites-cosmoprof-master-catalog/default/images/gibsgrooming/243036.png,https://www.cosmoprofbeauty.com/on/demandware.static/-/Sites-cosmoprof-master-catalog/default/images/gibsgrooming/243036.png,,,NONE,321,,2 oz.,,"Phantom Matte Shaping Cream for impossibly soft high hold and ultra-matte, never flat finish.",,D,FALSE,GIBS DISTRIBUTION LLC-JDA US,52009,TRUE,TRUE,Phantom Matte Shaping Cream - GIBS Grooming | CosmoProf,,,RETL,243,HSO/1.5,,Mens Grooming,,
USA-637428,6.34E+11,1012856,FALSE,FAR CHI 44 IRON GUARD,CHI,Tools & Appliances,Flat Irons,,750,Farouk Chi 44 Iron Guard Thermal Protection Spray gives you superior heat protection for your hair. UPC:633911669518,,https://www.cosmoprofbeauty.com/on/demandware.static/-/Sites-cosmoprof-master-catalog/default/images/chi/637428.png,https://www.cosmoprofbeauty.com/on/demandware.static/-/Sites-cosmoprof-master-catalog/default/images/chi/637428.png,,,NONE,282,,2 fl. oz.,?- Section your hair and spray 44 Iron Guard evenly over dry hair.<br />  - Start using your heat styling tool from roots to ends.,,"Water (Aqua), Sodium Polystyrene Sulfonate, SD Alcohol, Propylene Glycol, Polysorbate 20, PPG 20 Methyl Glucose Ether, Disodium EDTA, Hydrolyzed Silk, Hydrolyzed Wheat Protein PG Propyl Silanetriol, Perfume (Fragrance), Diazolidinyl Urea, Methylparaben, Propylparaben, Methylchloroisothiazolinone, Methylisothiazolinone, Ceramic",D,FALSE,FAROUK SYSTEMS INC / CHI HOME - JDA US,CHI5005,TRUE,TRUE,CHI 44 Iron Guard - Farouk | CosmoProf,,,RETL,635,N/A/.0,,Styling,,
USA-014648,6.72E+11,2010296,FALSE,Sonic Wave Control Creme Creme,Aquage,Hair Care,Hair Styling,Heat Protection Styling,900,"""Layer Texture Control Creme on curly hair to tame or enhance curls and define shape. Moisturizes, enhances and adds volume to wavy or curly hair. UPC:671570002789""",,https://www.cosmoprofbeauty.com/on/demandware.static/-/Sites-cosmoprof-master-catalog/default/images/aquage/014648.png,https://www.cosmoprofbeauty.com/on/demandware.static/-/Sites-cosmoprof-master-catalog/default/images/aquage/014648.png,,,NONE,32,,2 fl. oz.,"<ol>  	<li>Apply evenly into damp hair.</li>  	<li>Air-dry or style with heat for added texture.</li>  	<li>Do not apply near eyes or on irritated skin.</li>  </ol>",,"WATER (AQUA, EAU), DIMETHICONE, GLYCERIN, DIMETHICONE/VINYL DIMETHICONE CROSSPOLYMER, POLYSILICONE-15, PELVETIA CANALICULATA EXTRACT, GELIDIELLA ACEROSA EXTRACT, HYPNEA MUSCIFORMIS EXTRACT, ASCOPHYLLUM NUDOSUM EXTRACT, LAMINARIA SACCHARINA EXTRACT, HIMANTHALIA ELONGATA EXTRACT, SARGASSUM FILIPENDULA EXTRACT, PALMARIA PALMATA EXTRACT, CHONDRUS CRISPUS EXTRACT, ENTEROMORPHA COMPRESSA EXTRACT, UNDARIA PINNATIFIDA EXTRACT, HYDROLYZED RHODOPHYCEA EXTRACT, LAMINARIA DIGITATA,EXTRACT, MACROCYSTIS PYRIFERA (KELP) EXTRACT, PHENOXYETHANOL, HEXYLENE GLYCOL, HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER, DIMETHICONOL, PEG-40 HYDROGENATED CASTOR OIL, PEG-25 HYDROGENATED CASTOR OIL, ETHYLHEXYLGLYCERIN, SODIUM HYALURONATE, PROPYLENE GLYCOL, GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE, ARGANIA SPINOSA KERNEL OIL, BENZOIC ACID, SORBIC ACID, BENZYL SALICYLATE, HYDROXYCITRONELLAL, LIMONENE, LINALOOL, BUTYLPHENYL METHYLPROPIONAL, FRAGRANCE (PARFUM).",D,FALSE,BEAUTY QUEST GROUP/RUSK/AQUAGE-JDA US,AQCC2,TRUE,TRUE,Sonic Wave Control Creme Creme - Aquage | CosmoProf,,,RETL,524,HSO/.0,,Hair Styling,Texturizing,
USA-014729,74469516464,2010394,FALSE,Color Therapy Color-Protecting Conditioner,Joico,Hair Care,Conditioner,,900,"""This conditioner for color-treated hair not only extends the vibrancy and life of your investment shade for up to 8 weeks, it also hydrates, strengthens strands, reduces breakage, and bumps up shine to a whole new gleam. UPC:074469516464""",USA-M-347212,https://www.cosmoprofbeauty.com/on/demandware.static/-/Sites-cosmoprof-master-catalog/default/images/joico/014729.png,https://www.cosmoprofbeauty.com/on/demandware.static/-/Sites-cosmoprof-master-catalog/default/images/joico/014729.png,https://www.cosmoprofbeauty.com/on/demandware.static/-/Sites-cosmoprof-master-catalog/default/images/joico/014729_s.png,,NONE,425,,1.7_fl_oz,"<ol>  	<li>Apply a small amount to clean, damp hair.</li>  	<li>Leave 1-2 minutes.</li>  	<li>Rinse.</li>  </ol>","<ul>  	<li>Helps restore and protect hair for vibrant, long-lasting hair color*</li>  	<li>Doubles hair resistance to breakage**</li>  	<li>Boosts shine</li>  	<li>Helps hydrate hair and improves elasticity &amp; manageability</li>  	<li>*Maintains over 82% of hair color after 18 washes</li>  </ul>    <br>**Against combing breakage on damaged hair vs. a non-conditioning shampoo; when used with K-PAK Color Therapy Shampoo &amp; Conditioner","Water/Aqua/Eau, Stearyl Alcohol, Behenyl Alcohol, Propylene Glycol, Behentrimonium Chloride, Sorbitol, Hydrogenated Castor Oil/Sebacic Acid Copolymer, Ethylhexyl Palmitate, Keratin, Hydrolyzed Keratin, Cocodimonium Hydroxypropyl Hydrolyzed Keratin, Laurdimonium Hydroxypropyl Hydrolyzed Keratin, Hydrolyzed Keratin PG-Propyl Methylsilanediol, Aleurites Moluccanus Seed Oil, Schinziophyton Rautanenii Kernel Oil, Psidium Guajava Fruit Extract, Phosphatidylcholine, Rosa Canina Fruit Oil, Aloe Barbadensis Leaf Juice, Oenothera Biennis (Evening Primrose) Oil, Tocopheryl Acetate, Glycolipids, Silicone Quaternium-16, Dimethicone, Aminopropyl Dimethicone, Cetrimonium Chloride, Sodium Hyaluronate, Isopropyl Alcohol, Undeceth-11, Disodium EDTA, Butyloctanol, Undeceth-5, PEG-90M, Iodopropynyl Butylcarbamate, PEG-4 Laurate, Polyquaternium-55, Glycerin, Arginine HCl, Polysilicone-19, Dipropylene Glycol, Thioctic Acid, Butyl Methoxydibenzoylmethane, Allantoin, Sodium Ascorbyl Phosphate, DMDM Hydantoin, Phenoxyethanol, Citric Acid, Sodium Hydroxide, Hydroxycitronellal, Fragrance/Parfum.",C,FALSE,JOICO LABORATORIES-ISO / HENKEL CORPORAT,2569401,TRUE,TRUE,K-PAK Color Therapy Color-Protecting Conditioner - Joico | CosmoProf,"K-Pak Color Therapy Conditioner, Color Therapy Color-Protecting Conditioner, Joico K-Pak Color Therapy Color=Protecting Conditioner at Cosmo Prof Beauty",,RETL,347,N/A/.0,,Conditioner,Color Care,
USA-015007,3.61E+12,2011301,FALSE,ColorMotion+ Color Protect Conditioner,Wella,,,,630,"""Wella Professionals introduces ColorMotion+, the ultimate partner to Wella Color! ColorMotion+ unites the best of our care technologies, providing much more than only color protection. Now you can give your clients the power of three for strength in colored hair: color protection, vibrant shine, and stronger hair. For up to 8 weeks of color protection*  *when using structure+ mask UPC:3614229199147""",,https://www.cosmoprofbeauty.com/on/demandware.static/-/Sites-cosmoprof-master-catalog/default/images/wella/015007.png,https://www.cosmoprofbeauty.com/on/demandware.static/-/Sites-cosmoprof-master-catalog/default/images/wella/015007.png,,,NONE,912,,1 fl. oz.,"Apply to clean, damp hair and distribute evenly. Leave on for 30 seconds. Rinse thoroughly.",,"AQUA/WATER/EAU, STEARYL ALCOHOL, CETYL ALCOHOL, BIS-AMINOPROPYL DIMETHICONE, BEHENAMIDOPROPYL DIMETHYLAMINE, GLUTAMIC ACID, PANTHENOL, BENZYL ALCOHOL, PHENOXYETHANOL, PARFUM/FRAGRANCE, ETHYLHEXYL METHOXYCINNAMATE, OCTOCRYLENE, METHYLPARABEN, PROPYLPARABEN, CITRIC ACID, HISTIDINE, EDTA, SODIUM CHLORIDE,",C,TRUE,WELLA OPERATIONS US LLC - HAIR - JDA US,99240118493,TRUE,TRUE,ColorMotion+ Color Protect Conditioner - Wella | CosmoProf,,,RETL,813,UNA/1.0,,Conditioner,,
